Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
pelvis_link,-8.97641009268044E-09,-2.77555756156289E-17,0.0108648264545672,0,0,0,0.784597038788837,0.00185392443193884,-1.45618415560541E-10,-6.93611949427077E-07,0.00119922876251883,3.18516087515177E-20,0.0017074386215359,0,0,0,0,0,0,package://prototype_v2.1/meshes/pelvis_link.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://prototype_v2.1/meshes/pelvis_link.STL,,pelvis_link-2,pelvis_frame,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_hip_pitch_link,-0.00820054090956351,0.0460810904477454,-0.00473458450163677,0,0,0,4.25232444878924,0.0084469867172844,9.79579197034509E-05,-9.01650391941945E-05,0.00964415675732896,5.65560313100423E-05,0.00855126213926793,0,0,0,0,0,0,package://prototype_v2.1/meshes/left_hip_pitch_link.STL,0.309803921568627,0.309803921568627,0.309803921568627,1,0,0,0,0,0,0,package://prototype_v2.1/meshes/left_hip_pitch_link.STL,,simplified_IA1-2;hip_pitch_to_hip_roll_bridge-1;hip_roll_shaft-1,left_hip_pitch_frame,hip_pitch_axis,left_hip_pitch_joint,revolute,0,0.065,0,0,0,0,pelvis_link,0,1,0,0,0,0,0,,,,,,,,
left_hip_roll_link,-0.0173818177280985,1.52000267921726E-05,-0.0488884250663827,0,0,0,5.02941735400882,0.0117373905656733,-9.51888418825862E-07,0.00193714809631629,0.0117130443464205,2.99118487811609E-06,0.0106344838762659,0,0,0,0,0,0,package://prototype_v2.1/meshes/left_hip_roll_link.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://prototype_v2.1/meshes/left_hip_roll_link.STL,,hip_bridge_front_truss_mount-1;simplified_IA1-3;hip_bridge_rear_lower_truss_mount-1;hip_bridge_unified_truss-1;simplified_IA2-2,left_hip_roll_frame,left_hip_roll_axis,left_hip_roll_joint,revolute,-0.086603,0.04555,-0.05,0,0,0,left_hip_pitch_link,-0.86603,0,-0.5,0,0,0,0,,,,,,,,
left_hip_yaw_link,3.23277108641579E-10,-0.0016495926709445,-0.0786546613846272,0,0,0,1.27736560817119,0.00709857178991688,6.99379830948948E-11,-2.40121918773691E-11,0.00574344442496262,7.22829015941613E-05,0.0047283587264404,0,0,0,0,0,0,package://prototype_v2.1/meshes/left_hip_yaw_link.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://prototype_v2.1/meshes/left_hip_yaw_link.STL,,thigh_dd-1;C-E6010ZZ-1,left_hip_yaw_frame,left_hip_yaw_axis,left_hip_yaw_joint,revolute,0.08384,0,-0.18411,0,0,0,left_hip_roll_link,0,0,1,0,0,0,0,,,,,,,,
left_knee_pitch_link,3.92707108151646E-11,-0.0488242650490534,-0.135000000050582,0,0,0,9.23873797940747,0.0405966197761271,-1.07773436864012E-11,-2.37981546571591E-06,0.0447273388950444,-9.5914439292467E-11,0.020418887675639,0,0,0,0,0,0,package://prototype_v2.1/meshes/left_knee_pitch_link.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://prototype_v2.1/meshes/left_knee_pitch_link.STL,,calf_outer_dd-1;knee_bearing_fixed_part-1;simplified_IA1-5;simplified_IA1-7;knee_bearing_fixed_part-2,left_knee_pitch_frame,left_knee_pitch_axis,left_knee_pitch_joint,revolute,0,0.05311,-0.155,0,0,0,left_hip_yaw_link,0,1,0,0,0,0,0,,,,,,,,
left_ankle_pitch_link,-0.00242028393186311,-0.0550443993534622,-0.0779380605438721,0,0,0,1.08930574025974,0.00472435752195793,1.03524414807864E-15,2.438707254669E-07,0.00326640434788404,-4.10482319558709E-05,0.00259846366311774,0,0,0,0,0,0,package://prototype_v2.1/meshes/left_ankle_pitch_link.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://prototype_v2.1/meshes/left_ankle_pitch_link.STL,,ankle_pitch_to_ankle_roll-1;C-E6010ZZ-3;ankle_roll_front-1;RMD-X6-60_simplified-2;ankle_roll_back-1,left_ankle_pitch_frame,left_ankle_pitch_axis,left_ankle_pitch_joint,revolute,0,0,-0.27,0,0,0,left_knee_pitch_link,0,1,0,0,0,0,0,,,,,,,,
left_ankle_roll_link,-0.0406256305926815,-3.32180918882763E-09,-0.0532929654168803,0,0,0,1.12339415308718,0.000976365121794495,5.11421100718914E-19,0.000126027377876098,0.00394406191337611,-1.09645404970089E-19,0.00428004909065803,0,0,0,0,0,0,package://prototype_v2.1/meshes/left_ankle_roll_link.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://prototype_v2.1/meshes/left_ankle_roll_link.STL,,foot_support_front-1;foot_support_back-1;foot_dd-1,left_ankle_roll_frame,left_ankle_roll_axis,left_ankle_roll_joint,revolute,0.03525,-0.05311,-0.125,0,0,0,left_ankle_pitch_link,1,0,0,0,0,0,0,,,,,,,,
right_hip_pitch_link,-0.00820054090956338,-0.0460810904477455,-0.00473458450163692,0,0,0,4.25232444878924,0.00844624912567438,-9.79579197034509E-05,-9.05908879087947E-05,0.00964415675732896,-5.65560313100443E-05,0.00855199973087796,0,0,0,0,0,0,package://prototype_v2.1/meshes/right_hip_pitch_link.STL,0.309803921568627,0.309803921568627,0.309803921568627,1,0,0,0,0,0,0,package://prototype_v2.1/meshes/right_hip_pitch_link.STL,,simplified_IA1-1;hip_pitch_to_hip_roll_bridge-2;hip_roll_shaft-2,right_hip_pitch_frame,hip_pitch_axis,right_hip_pitch_joint,revolute,0,-0.065,0,0,0,0,pelvis_link,0,1,0,0,0,0,0,,,,,,,,
right_hip_roll_link,-0.0173818208467342,1.51995359849513E-05,-0.0488884268674455,0,0,0,5.02941735400882,0.0117374928145416,-1.00416189059023E-06,0.00193697099610685,0.0117126353510171,3.08174804676707E-06,0.010634790622801,0,0,0,0,0,0,package://prototype_v2.1/meshes/right_hip_roll_link.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://prototype_v2.1/meshes/right_hip_roll_link.STL,,hip_bridge_front_truss_mount-2;hip_bridge_unified_truss-2;simplified_IA1-4;hip_bridge_rear_lower_truss_mount-2;simplified_IA2-1,right_hip_roll_frame,right_hip_roll_axis,right_hip_roll_joint,revolute,-0.086603,-0.04555,-0.05,0,0,0,right_hip_pitch_link,-0.86603,0,-0.5,0,0,0,0,,,,,,,,
right_hip_yaw_link,-3.32838749617093E-10,0.00164959002907661,-0.0786546613986316,0,0,0,1.27736560817118,0.00709857178991686,7.77925894599449E-11,2.44311504613139E-11,0.00574344442373524,-7.22829102123005E-05,0.00472835872766774,0,0,0,0,0,0,package://prototype_v2.1/meshes/right_hip_yaw_link.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://prototype_v2.1/meshes/right_hip_yaw_link.STL,,thigh_dd-2;C-E6010ZZ-5,right_hip_yaw_frame,right_hip_yaw_axis,right_hip_yaw_joint,revolute,0.08384,0,-0.18411,0,0,0,right_hip_roll_link,0,0,1,0,0,0,0,,,,,,,,
right_knee_pitch_link,-3.92711991398231E-11,0.0488242606128505,-0.135000000014196,0,0,0,9.23873797940746,0.0407689525129273,-1.07517226246303E-11,3.65653342232477E-06,0.0447273388950443,-1.11197390409661E-10,0.0202465549388387,0,0,0,0,0,0,package://prototype_v2.1/meshes/right_knee_pitch_link.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://prototype_v2.1/meshes/right_knee_pitch_link.STL,,calf_outer_dd-2;simplified_IA1-9;knee_bearing_fixed_part-3;simplified_IA1-8;knee_bearing_fixed_part-4,right_knee_pitch_frame,right_knee_pitch_axis,right_knee_pitch_joint,revolute,0,-0.05311,-0.155,0,0,0,right_hip_yaw_link,0,1,0,0,0,0,0,,,,,,,,
right_ankle_pitch_link,-0.00242028393186336,0.0550443931094025,-0.0779380605602954,0,0,0,1.08930574025974,0.00472435752195791,1.03472787337002E-15,2.43870725466032E-07,0.003267152560911,4.08126629731257E-05,0.00259771545009077,0,0,0,0,0,0,package://prototype_v2.1/meshes/right_ankle_pitch_link.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://prototype_v2.1/meshes/right_ankle_pitch_link.STL,,ankle_pitch_to_ankle_roll-2;C-E6010ZZ-4;RMD-X6-60_simplified-1;ankle_roll_front-3;ankle_roll_back-2,right_ankle_pitch_frame,right_ankle_pitch_axis,right_ankle_pitch_joint,revolute,0,0,-0.27,0,0,0,right_knee_pitch_link,0,1,0,0,0,0,0,,,,,,,,
right_ankle_roll_link,-0.040625630592682,-3.32180884882183E-09,-0.0532930151068952,0,0,0,1.12339415308718,0.000976365121794496,2.37711018135797E-19,0.0001260273778761,0.0039440619133761,-3.61564408930113E-20,0.00428004909065802,0,0,0,0,0,0,package://prototype_v2.1/meshes/right_ankle_roll_link.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://prototype_v2.1/meshes/right_ankle_roll_link.STL,,foot_dd-2;foot_support_back-2;foot_support_front-2,right_ankle_roll_frame,right_ankle_roll_axis,right_ankle_roll_joint,revolute,0.03525,0.05311,-0.125,0,0,0,right_ankle_pitch_link,1,0,0,0,0,0,0,,,,,,,,
waist_yaw_link,1.30543029231486E-17,7.68220237423733E-10,0.076521008093362,0,0,0,1.51535308473292,0.00470753401446787,-4.9431632075099E-19,-1.26207919191146E-19,0.00330820445676775,1.01077285116636E-11,0.00431501681463403,0,0,0,0,0,0,package://prototype_v2.1/meshes/waist_yaw_link.STL,0.309803921568627,0.309803921568627,0.309803921568627,1,0,0,0,0,0,0,package://prototype_v2.1/meshes/waist_yaw_link.STL,,simplified_IA2-3;waist_yaw_part-1,waist_yaw_frame,waist_yaw_axis,waist_yaw_joint,revolute,0,0,0.049,0,0,0,pelvis_link,0,0,1,0,0,0,0,,,,,,,,
waist_pitch_link,-0.00245883634259415,0.000228142125801342,0.126527682864707,0,0,0,16.5953194153469,0.117172546642573,0.000263858899399117,0.00164713412595153,0.0840740715597245,0.000118152754350006,0.0885735868857929,0,0,0,0,0,0,package://prototype_v2.1/meshes/waist_pitch_link.STL,0.309803921568627,0.309803921568627,0.309803921568627,1,0,0,0,0,0,0,package://prototype_v2.1/meshes/waist_pitch_link.STL,,simplified_IA1-11;waist_pitch_bridge-1;simplified_IA1-10;basic_design_assy-1/short_body_basic_design_whole-1;shoulder_pitch_assy-3;shoulder_pitch_assy-4,waist_pitch_frame,waist_pitch_axis,waist_pitch_joint,revolute,0,0,0.1025,0,0,0,waist_yaw_link,0,1,0,0,0,0,0,,,,,,,,
